data_id,Building_name,config_type,Selling_price,Monthly_Rent,lat,longt,platform,city,listing_date,txn_type,property_type,locality,sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,immediate_possession,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
981520,None,1 BHK ,10800000,0,19.231721,72.843793,housing,Mumbai,07/04/2016 17:27:06,resale,Residential,Borivali West,650,None,None,None,None,"Jay Raj Nagar Road, Near Don Bosco High School, Jay Raj Nagar",False,Ashok Nagar,None,None,None,None,None,None,None,07/04/2016 17:27:06
816700,None,1 BHK ,11000000,0,19.231614,72.84385,housing,Mumbai,03/15/2016 14:30:41,resale,Residential,Borivali West,700,None,None,None,None,"New Ashok Nagar, Near Suvadha School, Ashok Nagar",False,Ashok Nagar,None,None,None,None,None,None,None,03/15/2016 14:30:41
816758,None,1 BHK ,11000000,0,19.231708,72.843756,housing,Mumbai,03/15/2016 14:30:46,resale,Residential,Borivali West,700,None,None,None,None,"Paranjape Road, Near Suvidyalaya High School, New Ashok Nagar",False,Ashok Nagar,None,None,None,None,None,None,None,03/15/2016 14:30:46
976413,None,1 BHK ,7000000,0,19.241171,72.851948,housing,Mumbai,06/30/2016 14:35:57,resale,Residential,Borivali West,500,None,None,None,None,"Lic Road Number 1, Near Chhotu''s Kitchen, Aary Colony, Lic Colony",False,LIC Colony,None,None,None,None,None,None,None,06/30/2016 14:35:57
137580,None,1 BHK ,8300000,0,19.23678,72.8452,housing,Mumbai,07/04/2016 11:53:10,resale,Residential,Borivali West,600,None,None,None,None,"Eksar Height, Near H D F C Bank, Yogi Nagar",False,Eksar,None,None,None,None,None,None,None,07/04/2016 11:53:10
123612,None,2 BHK ,13800000,0,19.221996,72.852057,housing,Mumbai,07/04/2016 11:54:06,resale,Residential,Borivali West,990,None,None,None,None,"Svr Road, Near Mc Donald, Vivekanand Nagar",False,Vivekanand Nagar,None,None,None,None,None,None,None,07/04/2016 11:54:06
983126,None,1 BHK ,9500000,0,19.2228,72.842164,housing,Mumbai,07/05/2016 14:48:29,resale,Residential,Borivali West,600,None,None,None,None,"Link Road, Near Shimpoli Tel. Exchg. Bus Stop, Shimpoli",False,,None,None,None,None,None,None,None,07/05/2016 14:48:29
974969,None,2 BHK ,17500000,0,19.225872,72.844258,housing,Mumbai,06/30/2016 02:09:27,resale,Residential,Borivali West,1100,None,None,None,None,"Lokmanya Tilak Road, Near Abhinav-vasant Jogger's Park, Shimpoli",False,,None,None,None,None,None,None,None,06/30/2016 02:09:27
980131,None,2 BHK ,19000000,0,19.225872,72.844258,housing,Mumbai,07/03/2016 01:08:10,resale,Residential,Borivali West,1100,None,None,None,None,"Lokmanya Tilak Road, Near Abhinav-vasant Jogger's Park, Shimpoli",False,,None,None,None,None,None,None,None,07/03/2016 01:08:10
994339,None,2 BHK ,19000000,0,19.225872,72.844258,housing,Mumbai,07/13/2016 01:11:51,resale,Residential,Borivali West,1100,None,None,None,None,"Lokmanya Tilak Road, Near Abhinav-vasant Jogger's Park, Shimpoli",False,,None,None,None,None,None,None,None,07/13/2016 01:11:51
16116,None,2 BHK ,13999982,0,19.2242,72.844821,housing,Mumbai,05/13/2015 12:30:46,project,Residential,Borivali West,562,None,None,None,None,"Veer Abhimanya CHS, Shimpoly Road, Near Sadguru Vaman Rao Pai Garden, Amarkanth Jha Road, Kastur Park, Near Veg Treat Hotel",False,Babhai,None,None,None,None,None,None,None,05/13/2015 12:30:46
16133,None,"1, 2, 2.5, 3 BHK ,",8775000,0,19.238698,72.847492,housing,Mumbai,05/06/2015 10:28:55,project,Residential,Borivali West,650,None,None,None,None,"Eksar, Devidas Road, DN Mhatre Road, Near Aditya Farsan & Coldrinks",False,Eksar,None,None,None,None,None,None,None,05/06/2015 10:28:55
33211,None,"2, 3 BHK s",14499788,0,19.223248,72.8472,housing,Mumbai,10/26/2015 06:33:39,project,Residential,Borivali West,566,None,None,None,None,"Off Shimpoli Road, Near Ritu Exports - Manufacturer and Exporter",False,Kastur Park,None,None,None,None,None,None,None,10/26/2015 06:33:39
16195,None,"2, 3 BHK s",12350000,0,19.226234,72.844784,housing,Mumbai,05/02/2015 07:42:32,project,Residential,Borivali West,475,None,None,None,None,"Ram Mandir Road, Vazira Naka, Near Amarkant Jha Road & Anand Rao Pawar Vidhyalaya",False,Babhai,None,None,None,None,None,None,None,05/02/2015 07:42:32
19128,None,"1, 2 BHK s",8187500,0,19.23567,72.853925,housing,Mumbai,05/26/2015 04:54:34,project,Residential,Borivali West,655,None,None,None,None,"Opposite Bhagwati Hospital, Plot 12, Shimpoli, Mandpeshwar Udhyan Marg, Prem Nagar",False,,None,None,None,None,None,None,None,05/26/2015 04:54:34
13740,None,"1, 2 BHK s",8043000,0,19.247345,72.858518,housing,Mumbai,03/14/2015 07:01:54,project,Residential,Borivali West,383,None,None,None,None,"Behind Shree Shantinath Jain Mandir, Plot No. 857, Bhikaji Lad Road",False,Leo Peter Wadi,None,None,None,None,None,None,None,03/14/2015 07:01:54
16041,None,"1, 2, 3 BHK s",10500100,0,19.215365,72.849169,housing,Mumbai,04/23/2015 11:27:59,project,Residential,Borivali West,410,None,None,None,None,"Bhat Lane, Next to Poisar Depot, S V Rd, Near Dunkin Donut, Borivli",False,Shri Punit Nagar,None,None,None,None,None,None,None,04/23/2015 11:27:59
20531,None,"2, 3 BHK s",13535100,0,19.248781,72.847107,housing,Mumbai,05/08/2015 12:15:58,project,Residential,Borivali West,557,None,None,None,None,"Near Carl Bungalow, I. C. Colony Cross Road No.6",False,I C Colony,None,None,None,None,None,None,None,05/08/2015 12:15:58
19625,None,"1, 2, 3 BHK s",7740650,0,19.228307,72.829815,housing,Mumbai,04/29/2015 19:50:26,project,Residential,Borivali West,635,None,None,None,None,"RSC Road No16, Near Swami Vivekanand School, Gorai-1",False,Gorai 1,None,None,None,None,None,None,None,04/29/2015 19:50:26
12921,None,1 BHK ,0,0,19.229083,72.844044,housing,Mumbai,02/21/2015 06:11:21,project,Residential,Borivali West,312,None,None,None,None,"Plot No.360, Way to Viraj Temple,Vazira Naka, Near Sai Smriti Building",True,,None,None,None,None,None,None,None,02/21/2015 06:11:21
976469,None,2 BHK ,19100000,0,19.231721,72.843793,housing,Mumbai,06/30/2016 14:51:29,resale,Residential,Borivali West,1100,None,None,None,None,"Jay Raj Nagar Road, Near Don Bosco High School, Jay Raj Nagar",False,Ashok Nagar,None,None,None,None,None,None,None,06/30/2016 14:51:29
981587,None,2.5 BHK ,22400000,0,19.219358,72.843724,housing,Mumbai,07/14/2016 12:58:56,resale,Residential,Borivali West,1177,None,None,None,None,"Mahavir Nagar Road, Near Hdfc Bank & Atm, Mahavir Nagar",False,Satya Nagar,None,None,None,None,None,None,None,07/14/2016 12:58:56
27533,None,"1, 2 BHK s",11882000,0,19.220028,72.849434,housing,Mumbai,06/05/2015 04:43:22,project,Residential,Borivali West,457,None,None,None,None,"RM Bhattad Road, Near Kora Kendra Grounds & Opposite CCD, Sheetal CHS Sundar, Vivekanand Nagar",False,Sheetal Co-op Housing Society,None,None,None,None,None,None,None,06/05/2015 04:43:22
33340,None,3 BHK ,29000127,0,19.232942,72.851172,housing,Mumbai,06/08/2016 08:43:56,project,Residential,Borivali West,1613,None,None,None,None,"Sodawala Ln, Near Om Sai Superspeciality Hospital Pvt Ltd",False,Govind Nagar,None,None,None,None,None,None,None,06/08/2016 08:43:56
25260,None,2 BHK ,15275000,0,19.249223,72.84909,housing,Mumbai,05/28/2015 11:19:19,project,Residential,Borivali West,650,None,None,None,None,"Near Holy Cross Road Bus Stop, IC Colony Cross Road Number 1",False,I C Colony,None,None,None,None,None,None,None,05/28/2015 11:19:19
27520,None,"2, 3 BHK s",14994000,0,19.222006,72.85199,housing,Mumbai,06/04/2015 08:53:04,project,Residential,Borivali West,612,None,None,None,None,"Near McDonald's & State Bank of India ATM, RM Bhattad Road, Vivekanand Nagar",False,Vivekanand Nagar,None,None,None,None,None,None,None,06/04/2015 08:53:04
