data_id,Building_name,config_type,Selling_price,Monthly_Rent,lat,longt,platform,city,listing_date,txn_type,property_type,locality,Bua_sqft,price_per_sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,Possession,Launch_date,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date,quality1,quality2,quality3
12555, Viscom IT Solutions,None,"1,50,00,00,000",0,19.1280851,72.8468273,jagaha,Mumbai,31/07/2016,Buy,Office,Andheri,"40,540  ",,Unfurnished,None,None,"This entire independent building is available for sale in Andheri West. The building has ten floors of which the ground floor and the first floor would be suitable for retail businesses, the second to fourth floor are for parking and the fifth to the ninth floor are for office space. Altogether the property has a useable area of 40,540 square feet and a built up area of 65,944 square feet. In terms of amenities, the Andheri West commercial building has full time security, two lifts, visitor's car parking, a fire system and water storage. To boot, this east facing building is within walking distance of D N Nagar Metro Station. The property is surrounded by many banks, corporate offices and restaurants."," Viscom IT Solutions, Amboli, Mumbai, Maharashtra, India",false,None,Under 5 years,ChIJm5fdJTzI5zsRj0eOyYUVt_I,Yes,None,None,None,None,None,31/07/2016,1,0,0
24566, The Summit Business Bay (Omkar),None,"72,97,05,000",0,19.1162574,72.8564051000001,jagaha,Mumbai,31/07/2016,Buy,Office,Andheri ,"31,621  ",,Bare Shell,None,None,"This office space is available for sale in Andheri East, Mumbai. It has a carpet area of 31,621 square feet and a built up area of 48,647 square feet. The property is a bare shell unit and comes with a reserved car park and its own private washroom. Regarding amenities & features, this Andheri building has a glass facade exterior, a spacious lobby, full time security, a gym, a rooftop restaurant, four lifts, visitor's car parking, power backup, a fire fighting system and a water storage facility. This property is well situated next to WEH Metro Station and is on Andheri-Kurla Road providing easy connectivity via road & railway."," The Summit Business Bay (Omkar), Andheri - Kurla Road, Andheri East, Mumbai, Maharashtra, India",false,None,Under Construction,ChIJF_trFjLI5zsRQ7EM6xKe-hs,No,None,None,None,None,None,31/07/2016,1,0,0
24604, Crystal Point Mall,None,"72,85,69,000",0,19.130786,72.831092,jagaha,Mumbai,31/07/2016,Buy,Shop/Showroom,Andheri,"30,000  ",,Unfurnished,None,None,"This retail space is available for sale in Andheri West, Mumbai. This is unfurnished so the occupant can design and furnish the space as per his/her business's needs. It has carpet area of 30,000 square feet (a built up area of 42,857 square feet) and comes with its own personal washroom. Regarding amenities, the Andheri building has full time security, two lifts, power backup, a fire fighting system, reserved parking, visitor's car parking, a nearby ATM and water storage. Lastly, this Andheri West property is well connected to New link road and is within walking distance of D.N Nagar Metro Station."," Crystal Point Mall, Link Road, Andheri West, Mumbai, Maharashtra, India",false,None,5 - 10 years,ChIJIRcFCyG25zsRT_Z-TC4-8A0,Yes,None,None,None,None,None,31/07/2016,1,0,0
371, Excom House,None,"40,00,00,000",0,19.1050857,72.8880815,jagaha,Mumbai,31/07/2016,Buy,Office,Andheri ,"20,500  ",,Fully,None,None,"This fully furnished, well maintained and newly constructed Andheri East commercial property is for sale. The property includes a ground floor, first floor and second floor (ground floor = 6500 sq. ft., first floor = 7000 sq. ft., second floor = 7000 sq. ft.) for a total useable area of 20,500 square feet and a built up area of 28,000 square feet. It is a Vaastu compliant structure with entry from all sides, two stair cases, ample space for parking, 24 hour security, water storage, power supply and fifteen car parks. This Andheri independent building is conveniently located next to Saki Naka metro station."," Excom House, Saki Vihar Road, Asalpha, Mumbai, Maharashtra, India",false,None,5 - 10 years,ChIJC_X7a3LI5zsRJ4V1KAqYpB0,Yes,None,None,None,None,None,31/07/2016,1,0,0
12851, Art Guild House,None,0,"1,62,09,000",19.0859486,72.8901847,jagaha,Mumbai,31/07/2016,Lease,Office,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ","87,799  ",,Bare Shell,None,None,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 87,799 square feet and a built up area of 1,35,075 square feet. It is a bare shell unit and come with its own private washroom and sixty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station."," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",false,None,New,ChIJG7zPfofI5zsR_B63xlZr2Og,No,None,None,None,None,None,31/07/2016,1,0,0
12852, Art Guild House,None,0,"1,61,31,120",19.0859486,72.8901847,jagaha,Mumbai,31/07/2016,Lease,Office,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ","87,377  ",,Bare Shell,None,None,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 87,377 square feet and a built up area of 1,34,426 square feet. It is a bare shell unit and come with its own private washroom and sixty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station."," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",false,None,New,ChIJG7zPfofI5zsR_B63xlZr2Og,No,None,None,None,None,None,31/07/2016,1,0,0
12853, Art Guild House,None,0,"1,47,85,680",19.0859486,72.8901847,jagaha,Mumbai,31/07/2016,Lease,Office,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ","80,089  ",,Bare Shell,None,None,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 80,089 square feet and a built up area of 1,23,214 square feet. It is a bare shell unit and come with its own private washroom and sixty-two reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station."," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",false,None,New,ChIJG7zPfofI5zsR_B63xlZr2Og,No,None,None,None,None,None,31/07/2016,1,0,0
12850, Art Guild House,None,0,"1,38,52,800",19.0859486,72.8901847,jagaha,Mumbai,31/07/2016,Lease,Office,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ","75,036  ",,Bare Shell,None,None,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 75,036 square feet and a built up area of 1,15,440 square feet. It is a bare shell unit and come with its own private washroom and fifty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station."," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",false,None,New,ChIJG7zPfofI5zsR_B63xlZr2Og,No,None,None,None,None,None,31/07/2016,1,0,0
24533, Deegee,None,0,"66,45,000",19.1220261,72.872749,jagaha,Mumbai,31/07/2016,Lease,Office,Andheri,"58,352  ",,Bare Shell,None,None,"This newly constructed office is available for lease in Andheri East. It has a total carpet area of 58,352 square feet (a built up area of 88,600 square feet) which includes .The property is a bareshell unit so the tenant can design and furnish the space as per his or her business's needs. With respect to features and amenities, this Andheri building has a glass facade elevation, three lifts, full time security, power backup, a fire fighting system, a seperate tower for car parking which is accessibe from all floor and water storage. Lastly, this office building is located in MIDC area, is easily accessible to JVLR as well as Andheri Kurla Road and is a short drive away from Chakala Metro Station as well as Andheri Railway Station."," Deegee, Cross Road C, Andheri East, Mumbai, Maharashtra, India",false,None,New,ChIJ-bwxViLI5zsRgoejQWBKZo0,Yes,None,None,None,None,None,31/07/2016,1,0,0
12845, Art Guild House,None,0,"90,51,000",19.0859486,72.8901847,jagaha,Mumbai,31/07/2016,Lease,Office,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ","49,026  ",,Bare Shell,None,None,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 49,026 square feet and a built up area of 75,425 square feet. It is a bare shell unit and come with its own private washroom and thirty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station."," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",false,None,New,ChIJG7zPfofI5zsR_B63xlZr2Og,No,None,None,None,None,None,31/07/2016,1,0,0
