data_id,Building_name,config_type,Selling_price,Monthly_Rent,lat,longt,platform,city,listing_date,txn_type,property_type,locality,sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,immediate_possession,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
4234909,None,,800000.0,0,0,0,Sulekha,Mumbai,06/06/2016,Sale,Commercial,Vangani,,None,manik constructions,None,None,None,false,None,None,None,,None,None,None,None,06/06/2016
4008210,None,1 BHK,1784000.0,0,0,0,Sulekha,Mumbai,06/02/2016,Sale,Residential,Ambernath West,,None,Laxmi Kamal Associates,None,None,None,false,None,None,None,,None,None,None,None,06/02/2016
4102785,None,,1584000.0,0,0,0,Sulekha,Mumbai,07/20/2016,Sale,Commercial,Ambernath West,,None,R.S Enterprises,None,None,None,false,None,None,None,,None,None,None,None,07/20/2016
4277229,Ushakiran Residency,1 BHK,2398000.0,0,0,0,Sulekha,Mumbai,06/21/2016,Sale,Residential,Badlapur East,,None,Usha Construction Co,None,None,None,false,None,None,None,,None,None,None,None,06/21/2016
4653230,None,1 BHK,1768000.0,0,0,0,Sulekha,Mumbai,06/24/2016,Sale,Residential,Badlapur East,,None,Jai Ambe Enterprises,None,None,None,false,None,None,None,,None,None,None,None,06/24/2016
3788123,None,1 BHK,1300000.0,0,0,0,Sulekha,Mumbai,07/12/2016,Sale,Residential,Khopoli,,None,Arvind Nirmal,None,None,None,false,None,None,None,,None,None,None,None,07/12/2016
4712133,Aarambh Residency,1 RK,1350000.0,0,0,0,Sulekha,Mumbai,07/14/2016,Sale,Residential,Karjat,,None,Sree Ram Developers,None,None,None,false,None,None,None,,None,None,None,None,07/14/2016
4747341,Hrieday,1 BHK,1938000.0,0,0,0,Sulekha,Mumbai,07/25/2016,Sale,Residential,Badlapur East,,None,PRAVIN WAGH,None,None,None,false,None,None,None,,None,None,None,None,07/25/2016
4692279,None,1 RK,1066000.0,0,0,0,Sulekha,Mumbai,07/08/2016,Sale,Residential,Badlapur East,,None,Shree Satyam Group,None,None,None,false,None,None,None,,None,None,None,None,07/08/2016
4505783,None,1 BHK,1800000.0,0,0,0,Sulekha,Mumbai,07/06/2016,Sale,Residential,Nalasopara West,,None,Shree Saisiddhivinayak Real Eatate Consultant,None,None,None,false,None,None,None,,None,None,None,None,07/06/2016
4627314,None,2 BHK,13000000.0,0,0,0,Sulekha,Mumbai,06/16/2016,Sale,Residential,Thane,,None,Kajal Property,None,None,None,false,None,None,None,,None,None,None,None,06/16/2016
3950687,None,1 BHK,9500000.0,0,0,0,Sulekha,Mumbai,06/26/2016,Sale,Residential,Chembur East,,None,Sai Leela And Co.,None,None,None,false,None,None,None,,None,None,None,None,06/26/2016
4751001,None,,25000000.0,0,0,0,Sulekha,Mumbai,07/26/2016,Sale,Commercial,Worli,,None,ajit aeer,None,None,None,false,None,None,None,,None,None,None,None,07/26/2016
4427061,Spring Grove,1 BHK,5500000.0,0,0,0,Sulekha,Mumbai,06/09/2016,Sale,Residential,Kandivali East,,None,Ketan,None,None,None,false,None,None,None,,None,None,None,None,06/09/2016
3800294,None,2 BHK,13000000.0,0,0,0,Sulekha,Mumbai,07/22/2016,Sale,Residential,Bhandup East,,None,Royal Decorum,None,None,None,false,None,None,None,,None,None,None,None,07/22/2016
4531596,None,3 BHK,25000000.0,0,0,0,Sulekha,Mumbai,07/27/2016,Sale,Residential,Bhandup West,,None,Virdi Estate Agency,None,None,None,false,None,None,None,,None,None,None,None,07/27/2016
4758414,None,1 BHK,8700000.0,0,0,0,Sulekha,Mumbai,07/29/2016,Sale,Residential,Nahur West,,None,Ganesh Jatale,None,None,None,false,None,None,None,,None,None,None,None,07/29/2016
