data_id,Building_name,config_type,Selling_price,Monthly_Rent,lat,longt,platform,city,listing_date,txn_type,property_type,locality,sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,immediate_possession,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
2457851,samarth vaibhav,None,0,90000,0,0,Sulekha,Mumbai,07/03/2016,Rent,Commercial,Andheri West,,None,Broker,VIJHAY REAL ESTATE AGENTS,None,"samarth vaibhav, andheri link road ,",false,None,None,None,,None,None,None,None,07/03/2016
2950384,None,1 BHK,0,32000,0,0,Sulekha,Mumbai,07/18/2016,Rent,Residential,Bandra West,,None,Broker,Imraan,None,,false,None,None,None,,None,None,None,None,07/18/2016
2844039,None,2 BHK,0,14000,0,0,Sulekha,Mumbai,07/24/2016,Rent,Residential,Mira Road,,None,Broker,Vikas,None,,false,None,None,None,,None,None,None,None,07/24/2016
3205862,N.M. Joshi Marg,3 BHK,0,0,0,0,Sulekha,Mumbai,07/05/2016,Rent,Residential,Mahalaxmi West,,None,Broker,Anil Cordeiro,None,"N.M. Joshi Marg, Mahalaxmi, Mumbai 400 013.",true,None,None,None,,None,None,None,None,07/05/2016
2555296,Kanjrmarg West,3 BHK,0,0,0,0,Sulekha,Mumbai,07/18/2016,Rent,Residential,Kanjurmarg West,,None,Broker,Ramesh Prajapathi,None,"Kanjurmarg West, Mumbai, Maharashtra, India",true,None,None,None,,None,None,None,None,07/18/2016
2972032,Andheri West,None,0,45000,0,0,Sulekha,Mumbai,07/09/2016,Rent,Commercial,Andheri West,,None,Broker,mujeeb,None,Andheri West,false,None,None,None,,None,None,None,None,07/09/2016
3161342,None,1 RK,0,5000,0,0,Sulekha,Mumbai,06/11/2016,Rent,Residential,Kalyan West,,None,Broker,Shree Samarth Estate Consultancy,None,,false,None,None,None,,None,None,None,None,06/11/2016
2804531,on reqest,1 BHK,0,25000,0,0,Sulekha,Mumbai,07/10/2016,Rent,Residential,Vile Parle East,,None,Broker,poojarishanghavi,None,on request,false,None,None,None,,None,None,None,None,07/10/2016
2852612,None,1 BHK,0,19000,0,0,Sulekha,Mumbai,06/07/2016,Rent,Residential,Malad East,,None,Broker,Om Property Consultancy,None,,false,None,None,None,,None,None,None,None,06/07/2016
3147779,Cosmos Jewels,2 BHK,0,15000,0,0,Sulekha,Mumbai,06/04/2016,Rent,Residential,Ghodbunder Road,,None,Broker,Ramakant Pawshe,None,"Cosmos Jewels, Ghodbunder Rd, Rutu Enclave, Kavesar, Thane West, Thane, Maharashtra 400615, India",false,None,None,None,,None,None,None,None,06/04/2016
2790710,iswarnagar,1 RK,0,15500,0,0,Sulekha,Mumbai,06/26/2016,Rent,Residential,Bhandup West,,None,Broker,YADAV,None,iswarnagar,false,None,None,None,,None,None,None,None,06/26/2016
3201144,Sakinaka Metro Station,3 BHK,0, 10,0,0,Sulekha,Mumbai,07/01/2016,Rent,Residential,Saki Naka,,None,Broker,Kasi,None,"Sakinaka Metro Station, Andheri - Ghatkopar Road, Bandi Bazaar, Mumbai, Maharashtra, India",false,None,None,None,,None,None,None,None,07/01/2016
2827450,Dheeraj Upvan II,1 BHK,0,18000,0,0,Sulekha,Mumbai,07/08/2016,Rent,Residential,Borivali East,,None,Broker,Lal Manglani,None,"Dheeraj Upvan II,, Jai Maharashtra Rd, Siddharth Nagar, Borivali East, Mumbai, Maharashtra 400066, I",false,None,None,None,,None,None,None,None,07/08/2016
